label,start,end
检查项目,苯中毒,碱性磷酸酶
治疗,喘息样支气管炎,药物治疗
治疗,喘息样支气管炎,支持性治疗
推荐吃,喘息样支气管炎,紫苏粥
推荐吃,喘息样支气管炎,菊花芦根茶
推荐吃,喘息样支气管炎,生芦根粥
推荐吃,喘息样支气管炎,鲜芦根粥
推荐吃,喘息样支气管炎,薏仁党参粥
推荐吃,喘息样支气管炎,党参粥
推荐吃,喘息样支气管炎,黄芪粥
推荐吃,喘息样支气管炎,鸡蛋木耳粥
忌吃,喘息样支气管炎,海蟹
忌吃,喘息样支气管炎,海虾
忌吃,喘息样支气管炎,海螺
忌吃,喘息样支气管炎,猪肉(肥瘦)
宜吃,喘息样支气管炎,鸡蛋
宜吃,喘息样支气管炎,海蚌
宜吃,喘息样支气管炎,赤贝
宜吃,喘息样支气管炎,圆白菜
治疗药物,喘息样支气管炎,消咳喘糖浆
治疗药物,喘息样支气管炎,盐酸班布特罗片
治疗药物,喘息样支气管炎,氨溴特罗口服溶液
治疗药物,喘息样支气管炎,盐酸丙卡特罗片
治疗药物,喘息样支气管炎,十五味龙胆花丸
治疗药物,喘息样支气管炎,茶碱缓释片
治疗药物,喘息样支气管炎,复方蛤青胶囊
治疗药物,喘息样支气管炎,盐酸米诺环素胶囊
治疗药物,喘息样支气管炎,肺宁丸
治疗药物,喘息样支气管炎,咳特灵胶囊
治疗药物,喘息样支气管炎,肺宁片
治疗药物,喘息样支气管炎,蛇胆川贝液
治疗药物,喘息样支气管炎,胸腺肽肠溶片
治疗药物,喘息样支气管炎,小儿肺热咳喘颗粒
治疗药物,喘息样支气管炎,白葡奈氏菌片
治疗药物,喘息样支气管炎,小青龙颗粒
治疗药物,喘息样支气管炎,金荞麦片
治疗药物,喘息样支气管炎,复方甲氧那明胶囊
治疗药物,喘息样支气管炎,硫酸沙丁胺醇片
常见药物,喘息样支气管炎,胸腺肽肠溶片
常见药物,喘息样支气管炎,小儿肺热咳喘颗粒
并发症,喘息样支气管炎,支气管哮喘
病症,喘息样支气管炎,哮鸣音
病症,喘息样支气管炎,高热
病症,喘息样支气管炎,喘息
科室从属,呼吸内科,内科
就诊科室,喘息样支气管炎,呼吸内科
治疗,成人呼吸窘迫综合征,药物治疗
治疗,成人呼吸窘迫综合征,支持性治疗
推荐吃,成人呼吸窘迫综合征,百合糖粥
推荐吃,成人呼吸窘迫综合征,百合粥
推荐吃,成人呼吸窘迫综合征,百合花生汤
推荐吃,成人呼吸窘迫综合征,首乌百合粥
推荐吃,成人呼吸窘迫综合征,薏米莲子粥
推荐吃,成人呼吸窘迫综合征,牛奶玉米汤
推荐吃,成人呼吸窘迫综合征,萝卜豆腐汤
推荐吃,成人呼吸窘迫综合征,瓜粒杂锦汤
忌吃,成人呼吸窘迫综合征,啤酒
忌吃,成人呼吸窘迫综合征,白酒
忌吃,成人呼吸窘迫综合征,洋葱
忌吃,成人呼吸窘迫综合征,辣椒(红、尖、干)
宜吃,成人呼吸窘迫综合征,莲子
宜吃,成人呼吸窘迫综合征,生菜
宜吃,成人呼吸窘迫综合征,山药
宜吃,成人呼吸窘迫综合征,空心菜
治疗药物,成人呼吸窘迫综合征,盐酸溴己新葡萄糖注射液
治疗药物,成人呼吸窘迫综合征,注射用盐酸氨溴索
治疗药物,成人呼吸窘迫综合征,盐酸氨溴索葡萄糖注射液
治疗药物,成人呼吸窘迫综合征,人血白蛋白
治疗药物,成人呼吸窘迫综合征,注射用还原型谷胱甘肽
治疗药物,成人呼吸窘迫综合征,注射用过氧化碳酰胺
常见药物,成人呼吸窘迫综合征,注射用还原型谷胱甘肽
常见药物,成人呼吸窘迫综合征,人血白蛋白
并发症,成人呼吸窘迫综合征,细菌性肺炎
病症,成人呼吸窘迫综合征,气胸
病症,成人呼吸窘迫综合征,焦虑
病症,成人呼吸窘迫综合征,心力衰竭
病症,成人呼吸窘迫综合征,哮鸣音
病症,成人呼吸窘迫综合征,紫绀
科室从属,呼吸内科,内科
就诊科室,成人呼吸窘迫综合征,呼吸内科
检查项目,成人呼吸窘迫综合征,血气分析
检查项目,成人呼吸窘迫综合征,氧分压
检查项目,成人呼吸窘迫综合征,肺毛细血管楔压
检查项目,成人呼吸窘迫综合征,动脉血气分析
治疗,大量羊水吸入,对症治疗
治疗,大量羊水吸入,药物治疗
治疗,大量羊水吸入,支持性治疗
并发症,大量羊水吸入,吸入性肺炎
并发症,大量羊水吸入,呼吸衰竭
病症,大量羊水吸入,气急
科室从属,小儿内科,儿科
就诊科室,大量羊水吸入,小儿内科
治疗,单纯性肺嗜酸粒细胞浸润症,药物治疗
治疗药物,单纯性肺嗜酸粒细胞浸润症,注射用盐酸头孢替安
治疗药物,单纯性肺嗜酸粒细胞浸润症,头孢氨苄甲氧苄啶片
治疗药物,单纯性肺嗜酸粒细胞浸润症,注射用磺苄西林钠
治疗药物,单纯性肺嗜酸粒细胞浸润症,头孢泊肟酯胶囊
治疗药物,单纯性肺嗜酸粒细胞浸润症,托西酸舒他西林胶囊
常见药物,单纯性肺嗜酸粒细胞浸润症,头孢泊肟酯胶囊
常见药物,单纯性肺嗜酸粒细胞浸润症,注射用盐酸头孢替安
并发症,单纯性肺嗜酸粒细胞浸润症,荨麻疹
并发症,单纯性肺嗜酸粒细胞浸润症,胆道蛔虫病
病症,单纯性肺嗜酸粒细胞浸润症,咳嗽
病症,单纯性肺嗜酸粒细胞浸润症,低热
病症,单纯性肺嗜酸粒细胞浸润症,乏力
病症,单纯性肺嗜酸粒细胞浸润症,胸闷
病症,单纯性肺嗜酸粒细胞浸润症,头痛
病症,单纯性肺嗜酸粒细胞浸润症,纳差
科室从属,呼吸内科,内科
就诊科室,单纯性肺嗜酸粒细胞浸润症,呼吸内科
治疗,大叶性肺炎,青霉素等抗生素药物治疗
治疗,大叶性肺炎,对症支持性治疗
治疗,大叶性肺炎,并发症治疗
推荐吃,大叶性肺炎,奶汤锅子鱼
推荐吃,大叶性肺炎,酱豆腐汁烧猪肉
推荐吃,大叶性肺炎,百合汤
推荐吃,大叶性肺炎,山楂百合汤
推荐吃,大叶性肺炎,番茄鸡蛋煎饼
推荐吃,大叶性肺炎,凉拌番茄
推荐吃,大叶性肺炎,番茄猪肝瘦肉汤
推荐吃,大叶性肺炎,番茄牛肉
忌吃,大叶性肺炎,洋葱
忌吃,大叶性肺炎,辣椒(青、尖)
忌吃,大叶性肺炎,辣椒(红、尖、干)
忌吃,大叶性肺炎,韭菜
宜吃,大叶性肺炎,栗子（熟）
宜吃,大叶性肺炎,鲫鱼
宜吃,大叶性肺炎,猪肉(瘦)
宜吃,大叶性肺炎,油菜
治疗药物,大叶性肺炎,头孢克洛颗粒
治疗药物,大叶性肺炎,头孢克肟颗粒
治疗药物,大叶性肺炎,氨溴特罗口服溶液
治疗药物,大叶性肺炎,加替沙星分散片
治疗药物,大叶性肺炎,阿奇霉素颗粒
治疗药物,大叶性肺炎,罗红霉素分散片
治疗药物,大叶性肺炎,通宣理肺丸
治疗药物,大叶性肺炎,头孢丙烯分散片
治疗药物,大叶性肺炎,养阴清肺丸
治疗药物,大叶性肺炎,阿奇霉素片
治疗药物,大叶性肺炎,肺力咳合剂
治疗药物,大叶性肺炎,阿奇霉素干混悬剂
治疗药物,大叶性肺炎,蛇胆川贝液
治疗药物,大叶性肺炎,罗红霉素软胶囊
治疗药物,大叶性肺炎,阿莫西林胶囊
治疗药物,大叶性肺炎,盐酸克林霉素棕榈酸酯分散片
治疗药物,大叶性肺炎,克拉霉素分散片
治疗药物,大叶性肺炎,雪梨膏
治疗药物,大叶性肺炎,依托红霉素混悬液
治疗药物,大叶性肺炎,阿莫西林颗粒
常见药物,大叶性肺炎,头孢丙烯分散片
常见药物,大叶性肺炎,头孢克肟颗粒
并发症,大叶性肺炎,中毒性休克综合征
并发症,大叶性肺炎,败血症
并发症,大叶性肺炎,肺脓肿
并发症,大叶性肺炎,脓胸
病症,大叶性肺炎,咳嗽
病症,大叶性肺炎,恶心
病症,大叶性肺炎,腹胀
病症,大叶性肺炎,腹泻
病症,大叶性肺炎,寒战
病症,大叶性肺炎,谵妄
病症,大叶性肺炎,休克
病症,大叶性肺炎,胸痛
病症,大叶性肺炎,紫绀
病症,大叶性肺炎,高热
科室从属,呼吸内科,内科
就诊科室,大叶性肺炎,呼吸内科
检查项目,大叶性肺炎,血培养
检查项目,大叶性肺炎,免疫电泳
检查项目,大叶性肺炎,血气分析
治疗,大楼病综合征,支持性治疗
治疗,大楼病综合征,康复治疗
推荐吃,大楼病综合征,生姜乌梅饮
推荐吃,大楼病综合征,乌梅粥
推荐吃,大楼病综合征,山楂乌梅饮
推荐吃,大楼病综合征,山楂红糖粥
推荐吃,大楼病综合征,山楂桑椹粥
忌吃,大楼病综合征,洋葱
忌吃,大楼病综合征,辣椒(青、尖)
忌吃,大楼病综合征,辣椒(红、尖、干)
忌吃,大楼病综合征,韭菜
宜吃,大楼病综合征,圆白菜
宜吃,大楼病综合征,小白菜
宜吃,大楼病综合征,生菜
宜吃,大楼病综合征,空心菜
治疗药物,大楼病综合征,云南花粉片
治疗药物,大楼病综合征,注射用盐酸溴己新
常见药物,大楼病综合征,注射用盐酸溴己新
常见药物,大楼病综合征,云南花粉片
并发症,大楼病综合征,抑郁症
病症,大楼病综合征,咳嗽
病症,大楼病综合征,恶心
病症,大楼病综合征,气喘
病症,大楼病综合征,打喷嚏
病症,大楼病综合征,头痛
科室从属,其他综合,其他科室
就诊科室,大楼病综合征,其他综合
治疗,二硫化碳中毒,药物治疗
治疗,二硫化碳中毒,支持性治疗
推荐吃,二硫化碳中毒,小麦粥
推荐吃,二硫化碳中毒,荞麦粥
推荐吃,二硫化碳中毒,杂粮粥
推荐吃,二硫化碳中毒,蔬菜杂烩粥
推荐吃,二硫化碳中毒,花生杏仁粥
推荐吃,二硫化碳中毒,豆薯小米粥
推荐吃,二硫化碳中毒,羊腩萝卜丝粥
推荐吃,二硫化碳中毒,绿豆南瓜汤
忌吃,二硫化碳中毒,啤酒
忌吃,二硫化碳中毒,白酒
忌吃,二硫化碳中毒,洋葱
忌吃,二硫化碳中毒,辣椒(红、尖、干)
宜吃,二硫化碳中毒,生菜
宜吃,二硫化碳中毒,南瓜
宜吃,二硫化碳中毒,苦瓜
宜吃,二硫化碳中毒,空心菜
治疗药物,二硫化碳中毒,布美他尼片
治疗药物,二硫化碳中毒,大月晶丸
治疗药物,二硫化碳中毒,十一味金色丸
治疗药物,二硫化碳中毒,二十五味绿绒蒿丸
治疗药物,二硫化碳中毒,仁青芒觉
治疗药物,二硫化碳中毒,二维葡醛内酯片
治疗药物,二硫化碳中毒,季德胜蛇药片
治疗药物,二硫化碳中毒,注射用硫代硫酸钠
治疗药物,二硫化碳中毒,秘诀清凉散
治疗药物,二硫化碳中毒,地塞米松磷酸钠注射液
治疗药物,二硫化碳中毒,盐酸利多卡因注射液
治疗药物,二硫化碳中毒,注射用鼠神经生长因子
常见药物,二硫化碳中毒,仁青芒觉
常见药物,二硫化碳中毒,季德胜蛇药片
并发症,二硫化碳中毒,昏迷
病症,二硫化碳中毒,硬化
病症,二硫化碳中毒,昏迷
病症,二硫化碳中毒,水肿
病症,二硫化碳中毒,谵妄
病症,二硫化碳中毒,震颤
病症,二硫化碳中毒,麻痹
病症,二硫化碳中毒,躁狂
就诊科室,二硫化碳中毒,急诊科
检查项目,二硫化碳中毒,脑电图检查
检查项目,二硫化碳中毒,肌电图
检查项目,二硫化碳中毒,血常规
检查项目,二硫化碳中毒,尿常规
治疗,肺-胸膜阿米巴病,药物治疗
治疗,肺-胸膜阿米巴病,支持性治疗
治疗,肺-胸膜阿米巴病,手术治疗
治疗药物,肺-胸膜阿米巴病,奥硝唑片
治疗药物,肺-胸膜阿米巴病,替硝唑片
治疗药物,肺-胸膜阿米巴病,甲硝唑片
治疗药物,肺-胸膜阿米巴病,甲硝唑维B6片
常见药物,肺-胸膜阿米巴病,甲硝唑片
常见药物,肺-胸膜阿米巴病,替硝唑片
并发症,肺-胸膜阿米巴病,阿米巴痢疾
并发症,肺-胸膜阿米巴病,阿米巴肝脓肿
病症,肺-胸膜阿米巴病,贫血
病症,肺-胸膜阿米巴病,脓肿
病症,肺-胸膜阿米巴病,咳嗽
病症,肺-胸膜阿米巴病,消瘦
病症,肺-胸膜阿米巴病,盗汗
病症,肺-胸膜阿米巴病,腹泻
病症,肺-胸膜阿米巴病,乏力
病症,肺-胸膜阿米巴病,休克
病症,肺-胸膜阿米巴病,胸痛
科室从属,呼吸内科,内科
就诊科室,肺-胸膜阿米巴病,呼吸内科
检查项目,肺-胸膜阿米巴病,酶联免疫吸附试验
检查项目,肺-胸膜阿米巴病,免疫电泳
治疗,肺出血－肾炎综合征,药物治疗
治疗,肺出血－肾炎综合征,康复治疗
治疗,肺出血－肾炎综合征,支持治疗
推荐吃,肺出血－肾炎综合征,肉末冬瓜
推荐吃,肺出血－肾炎综合征,肉松
推荐吃,肺出血－肾炎综合征,五丝白菜卷
推荐吃,肺出血－肾炎综合征,拌肚丝白菜
推荐吃,肺出血－肾炎综合征,冬菇烧白菜
推荐吃,肺出血－肾炎综合征,水萝卜丝拌白菜
推荐吃,肺出血－肾炎综合征,珊瑚白菜墩
推荐吃,肺出血－肾炎综合征,素炒小白菜
忌吃,肺出血－肾炎综合征,竹笋
忌吃,肺出血－肾炎综合征,辣椒(青、尖)
忌吃,肺出血－肾炎综合征,辣椒(红、尖、干)
忌吃,肺出血－肾炎综合征,韭菜
宜吃,肺出血－肾炎综合征,茄子
宜吃,肺出血－肾炎综合征,空心菜
宜吃,肺出血－肾炎综合征,茭白
宜吃,肺出血－肾炎综合征,番茄
治疗药物,肺出血－肾炎综合征,注射用甲泼尼龙琥珀酸钠
治疗药物,肺出血－肾炎综合征,雷公藤多苷片
治疗药物,肺出血－肾炎综合征,甲泼尼龙片
常见药物,肺出血－肾炎综合征,甲泼尼龙片
常见药物,肺出血－肾炎综合征,雷公藤多苷片
并发症,肺出血－肾炎综合征,高血压
并发症,肺出血－肾炎综合征,便血
病症,肺出血－肾炎综合征,贫血
病症,肺出血－肾炎综合征,疲乏
病症,肺出血－肾炎综合征,咳嗽
病症,肺出血－肾炎综合征,无力
病症,肺出血－肾炎综合征,窒息
病症,肺出血－肾炎综合征,血尿
病症,肺出血－肾炎综合征,气喘
病症,肺出血－肾炎综合征,水肿
病症,肺出血－肾炎综合征,血管炎
病症,肺出血－肾炎综合征,蛋白尿
病症,肺出血－肾炎综合征,高血压
病症,肺出血－肾炎综合征,胸痛
病症,肺出血－肾炎综合征,三联征
科室从属,呼吸内科,内科
就诊科室,肺出血－肾炎综合征,呼吸内科
检查项目,肺出血－肾炎综合征,尿蛋白
检查项目,肺出血－肾炎综合征,痰液显微镜检查
检查项目,肺出血－肾炎综合征,血液检查
检查项目,肺出血－肾炎综合征,抗肾小球基底膜抗体
检查项目,肺出血－肾炎综合征,纤维蛋白原
治疗,肺放线菌病,大剂量青霉素治疗、手术治疗
推荐吃,肺放线菌病,番茄西米粥
推荐吃,肺放线菌病,番茄牛肉片
推荐吃,肺放线菌病,番茄羊肉汤
推荐吃,肺放线菌病,番茄羊肉蛋花汤
推荐吃,肺放线菌病,番茄皮蛋汤
推荐吃,肺放线菌病,百合炒芦笋
推荐吃,肺放线菌病,百合炖猪蹄
推荐吃,肺放线菌病,鲜百合烧肉
忌吃,肺放线菌病,啤酒
忌吃,肺放线菌病,白酒
忌吃,肺放线菌病,狗肉
忌吃,肺放线菌病,洋葱
宜吃,肺放线菌病,油菜
宜吃,肺放线菌病,生菜
宜吃,肺放线菌病,南瓜
宜吃,肺放线菌病,空心菜
治疗药物,肺放线菌病,阿莫西林克拉维酸钾片
治疗药物,肺放线菌病,盐酸克林霉素棕榈酸酯分散片
治疗药物,肺放线菌病,4:1分散片
治疗药物,肺放线菌病,甲硝唑维B6片
治疗药物,肺放线菌病,金荞麦片
治疗药物,肺放线菌病,回生甘露丸
治疗药物,肺放线菌病,桉柠蒎肠溶软胶囊
治疗药物,肺放线菌病,清肺十八味丸
治疗药物,肺放线菌病,盐酸克林霉素胶囊
治疗药物,肺放线菌病,8:1
治疗药物,肺放线菌病,4:1
常见药物,肺放线菌病,盐酸克林霉素棕榈酸酯分散片
常见药物,肺放线菌病,金荞麦片
并发症,肺放线菌病,膈下脓肿
病症,肺放线菌病,贫血
病症,肺放线菌病,脓肿
病症,肺放线菌病,咳嗽
病症,肺放线菌病,盗汗
病症,肺放线菌病,低热
病症,肺放线菌病,胸痛
病症,肺放线菌病,高热
科室从属,呼吸内科,内科
就诊科室,肺放线菌病,呼吸内科
治疗,肺泡蛋白沉着症,药物治疗
治疗,肺泡蛋白沉着症,支持性治疗，对症治疗
并发症,肺泡蛋白沉着症,呼吸衰竭
病症,肺泡蛋白沉着症,乏力
病症,肺泡蛋白沉着症,咳嗽
病症,肺泡蛋白沉着症,低热
病症,肺泡蛋白沉着症,发绀
科室从属,呼吸内科,内科
就诊科室,肺泡蛋白沉着症,呼吸内科
检查项目,肺泡蛋白沉着症,血常规
检查项目,肺泡蛋白沉着症,血红蛋白
检查项目,肺泡蛋白沉着症,血清乳酸脱氢酶
检查项目,肺泡蛋白沉着症,支气管镜检查
检查项目,肺泡蛋白沉着症,动脉血气分析
检查项目,肺泡蛋白沉着症,氧分压
检查项目,肺泡蛋白沉着症,胸部CT检查
检查项目,肺泡蛋白沉着症,肺功能检查
检查项目,肺泡蛋白沉着症,肺活检
检查项目,肺泡蛋白沉着症,肺活检
检查项目,肺泡蛋白沉着症,肺活检
检查项目,肺泡蛋白沉着症,淋巴细胞
治疗,肺曲菌病,抗曲霉菌药物治疗
治疗,肺曲菌病,对症支持治疗
治疗,肺曲菌病,部分慢性感染如曲霉球需要手术切除治疗
推荐吃,肺曲菌病,银耳粥
推荐吃,肺曲菌病,鸭梨粥
推荐吃,肺曲菌病,雪梨饮
推荐吃,肺曲菌病,川贝酿梨
推荐吃,肺曲菌病,北杏炖雪梨
推荐吃,肺曲菌病,红枣银耳粥
推荐吃,肺曲菌病,冰糖银耳羹
推荐吃,肺曲菌病,椰子银耳煲鸽汤
忌吃,肺曲菌病,啤酒
忌吃,肺曲菌病,白酒
忌吃,肺曲菌病,洋葱
忌吃,肺曲菌病,韭菜
宜吃,肺曲菌病,鸡蛋
宜吃,肺曲菌病,鲤鱼
宜吃,肺曲菌病,鲫鱼
宜吃,肺曲菌病,油麦菜
治疗药物,肺曲菌病,头孢克洛颗粒
治疗药物,肺曲菌病,头孢克肟颗粒
治疗药物,肺曲菌病,氨溴特罗口服溶液
治疗药物,肺曲菌病,加替沙星分散片
治疗药物,肺曲菌病,阿奇霉素颗粒
治疗药物,肺曲菌病,罗红霉素分散片
治疗药物,肺曲菌病,通宣理肺丸
治疗药物,肺曲菌病,头孢丙烯分散片
治疗药物,肺曲菌病,养阴清肺丸
治疗药物,肺曲菌病,阿奇霉素片
治疗药物,肺曲菌病,肺力咳合剂
治疗药物,肺曲菌病,阿奇霉素干混悬剂
治疗药物,肺曲菌病,蛇胆川贝液
治疗药物,肺曲菌病,罗红霉素软胶囊
治疗药物,肺曲菌病,阿莫西林胶囊
治疗药物,肺曲菌病,盐酸克林霉素棕榈酸酯分散片
治疗药物,肺曲菌病,克拉霉素分散片
治疗药物,肺曲菌病,雪梨膏
治疗药物,肺曲菌病,依托红霉素混悬液
治疗药物,肺曲菌病,阿莫西林颗粒
常见药物,肺曲菌病,头孢丙烯分散片
常见药物,肺曲菌病,头孢克肟颗粒
并发症,肺曲菌病,哮喘
并发症,肺曲菌病,过敏性鼻炎
病症,肺曲菌病,咳嗽
病症,肺曲菌病,肉芽肿
病症,肺曲菌病,咳痰
病症,肺曲菌病,低热
病症,肺曲菌病,血管炎
病症,肺曲菌病,囊肿
病症,肺曲菌病,乏力
病症,肺曲菌病,脓痰
病症,肺曲菌病,畏寒
科室从属,呼吸内科,内科
就诊科室,肺曲菌病,呼吸内科
检查项目,肺曲菌病,体位
检查项目,肺曲菌病,涂片
检查项目,肺曲菌病,痰培养
检查项目,肺曲菌病,嗜酸性粒细胞
检查项目,肺曲菌病,皮肤试验
治疗,放射性肺炎,药物对症治疗为主，早期可能需要激素治疗
推荐吃,放射性肺炎,杂粮粥
推荐吃,放射性肺炎,蔬菜杂烩粥
推荐吃,放射性肺炎,小麦粥
推荐吃,放射性肺炎,虾皮香芹燕麦粥
推荐吃,放射性肺炎,荞麦粥
推荐吃,放射性肺炎,花生杏仁粥
推荐吃,放射性肺炎,豆薯小米粥
推荐吃,放射性肺炎,萝卜豆腐汤
忌吃,放射性肺炎,白酒
忌吃,放射性肺炎,洋葱
忌吃,放射性肺炎,辣椒(红、尖、干)
忌吃,放射性肺炎,大蒜
宜吃,放射性肺炎,莲子
宜吃,放射性肺炎,豆浆
宜吃,放射性肺炎,生菜
宜吃,放射性肺炎,南瓜
治疗药物,放射性肺炎,头孢克洛颗粒
治疗药物,放射性肺炎,头孢克肟颗粒
治疗药物,放射性肺炎,氨溴特罗口服溶液
治疗药物,放射性肺炎,加替沙星分散片
治疗药物,放射性肺炎,阿奇霉素颗粒
治疗药物,放射性肺炎,罗红霉素分散片
治疗药物,放射性肺炎,通宣理肺丸
治疗药物,放射性肺炎,头孢丙烯分散片
治疗药物,放射性肺炎,养阴清肺丸
治疗药物,放射性肺炎,阿奇霉素片
治疗药物,放射性肺炎,肺力咳合剂
治疗药物,放射性肺炎,阿奇霉素干混悬剂
治疗药物,放射性肺炎,蛇胆川贝液
治疗药物,放射性肺炎,罗红霉素软胶囊
治疗药物,放射性肺炎,阿莫西林胶囊
治疗药物,放射性肺炎,盐酸克林霉素棕榈酸酯分散片
治疗药物,放射性肺炎,克拉霉素分散片
治疗药物,放射性肺炎,雪梨膏
治疗药物,放射性肺炎,依托红霉素混悬液
治疗药物,放射性肺炎,阿莫西林颗粒
常见药物,放射性肺炎,头孢丙烯分散片
常见药物,放射性肺炎,头孢克肟颗粒
并发症,放射性肺炎,支气管肺炎
并发症,放射性肺炎,肺气肿
病症,放射性肺炎,咳嗽
病症,放射性肺炎,肝大
病症,放射性肺炎,气急
病症,放射性肺炎,心悸
病症,放射性肺炎,水肿
病症,放射性肺炎,低热
病症,放射性肺炎,发绀
病症,放射性肺炎,胸痛
病症,放射性肺炎,干咳
病症,放射性肺炎,高热
科室从属,呼吸内科,内科
就诊科室,放射性肺炎,呼吸内科
检查项目,放射性肺炎,氧分压
检查项目,放射性肺炎,肺功能检查
治疗,肺念珠菌病,抗真菌治疗，对症治疗，
治疗,肺念珠菌病,支持性治疗
推荐吃,肺念珠菌病,小麦粥
推荐吃,肺念珠菌病,荞麦粥
推荐吃,肺念珠菌病,杂粮粥
推荐吃,肺念珠菌病,蔬菜杂烩粥
推荐吃,肺念珠菌病,豆薯小米粥
推荐吃,肺念珠菌病,花生杏仁粥
推荐吃,肺念珠菌病,冬瓜草鱼汤
推荐吃,肺念珠菌病,三鲜冬瓜汤
忌吃,肺念珠菌病,啤酒
忌吃,肺念珠菌病,白酒
忌吃,肺念珠菌病,空心菜
忌吃,肺念珠菌病,奶油
宜吃,肺念珠菌病,鸡蛋清
宜吃,肺念珠菌病,鸡
宜吃,肺念珠菌病,杏仁
宜吃,肺念珠菌病,核桃
治疗药物,肺念珠菌病,环吡酮胺阴道栓
治疗药物,肺念珠菌病,联苯苄唑乳膏
治疗药物,肺念珠菌病,伊曲康唑胶囊
治疗药物,肺念珠菌病,双唑泰软膏
治疗药物,肺念珠菌病,硝呋太尔制霉素阴道软胶囊
治疗药物,肺念珠菌病,盐酸特比萘芬凝胶
治疗药物,肺念珠菌病,盐酸特比萘芬片
治疗药物,肺念珠菌病,双唑泰栓
治疗药物,肺念珠菌病,环吡酮胺乳膏
治疗药物,肺念珠菌病,硝酸舍他康唑乳膏
治疗药物,肺念珠菌病,克霉唑乳膏
治疗药物,肺念珠菌病,制霉素片
治疗药物,肺念珠菌病,转移因子口服溶液
治疗药物,肺念珠菌病,盐酸伊曲康唑胶囊
治疗药物,肺念珠菌病,硝酸咪康唑乳膏
